"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre"
"2387",28,1,"Is Harry on the Boat?",2002,2003,50,8,62,"comedy"
"2388",26,1,"Javier ya no vive solo",2002,2003,45,4.1,81,"comedy"
"2389",86,1,"Lingo",2002,2007,30,6.9,357,"family"
"2390",8,0,"River Cottage Forever",2002,0,30,8.5,134,"documentary"
"2391",26,0,"Secret Passages",2002,0,60,6.5,6,"history"
"2392",42,1,"Skattefri lørdag",1997,1999,60,4.7,10,"family"
"2393",56,1,"Sue Thomas: F.B.Eye",2002,2005,60,7.2,1478,"crime"
"2394",52,1,"Transufômâ: Maikuron densetsu",2002,2003,30,7.1,1028,"action"
"2395",70,1,"The L Word",2004,2009,50,7.6,21537,"drama"
"2396",26,0,"Tenchi Muyô! GXP",2002,0,24,7.2,182,"adventure"
"2397",26,0,"Akihabara dennô gumi",1998,0,22,6.2,28,"action"
"2398",19,1,"Bullerfnis",1990,1992,28,7.6,65,"family"
"2399",19,0,"Critter Gitters",1998,0,30,5,36,"animation"
"2400",13,1,"Gravitation",1999,2001,26,7.5,715,"animation"
"2401",39,1,"He-Man and the Masters of the Universe",2002,2004,30,7.4,2301,"action"
"2402",8,0,"What the Victorians Did for Us",2001,0,23,8.4,30,"documentary"
"2403",25,0,"Bîto ekkusu",1996,0,30,7.6,80,"action"
"2404",19,0,"Cartas de amor en cassette",1993,0,30,6.5,8,"drama"
"2405",12,0,"NatMadsen",1997,0,23,6.3,6,"talk-show"
"2406",22,1,"Nikolaj og Julie",2002,2003,43,6.1,508,"comedy"
"2407",37,0,"O Petros kai ta koritsia tou",1994,0,30,5.2,124,"comedy"
"2408",11,0,"Torsdag i 2'eren",2002,0,25,8,17,"comedy"
"2409",21,1,"Ultimate Force",2002,2006,74,7.7,1645,"action"
"2410",50,0,"Âge sensible",2002,0,26,8.5,13,"drama"
"2411",22,0,"Food Heroes",2002,0,30,8.5,22,"documentary"
"2412",61,0,"Linha Direta",1999,0,50,6.5,39,"crime"
"2413",77,0,"Stand-up.dk",1997,0,25,7.2,67,"comedy"
"2414",31,0,"Trick",2000,0,60,8,237,"adventure"
"2415",42,1,"Strange Days at Blake Holsey High",2002,2006,30,7.9,1062,"adventure"
"2416",24,1,"It's Alive!",1993,1997,60,4.9,47,"comedy"
"2417",40,1,"Liberty's Kids: Est. 1776",2002,2003,30,7.9,905,"adventure"
"2418",61,0,"Mail Call",2002,0,30,8.3,378,"comedy"
"2419",26,1,"Fillmore!",2002,2004,30,7.8,1781,"action"
"2420",26,0,"Hotel Erotica",2002,0,29,6.2,179,"adventure"
"2421",26,0,"Sternenfänger",2002,0,25,7.4,93,"family"
"2422",58,0,"The Surreal Life",2003,0,22,5.3,532,"comedy"
"2423",10,0,"Tummien vesien tulkit",2002,0,35,8.1,77,"comedy"
"2424",12,1,"Wild West",2002,2004,30,7.6,206,"comedy"
"2425",31,1,"Wire in the Blood",2002,2009,69,8.4,6086,"crime"
"2426",22,1,"Alienated",2003,2004,30,5.8,134,"comedy"
"2427",51,1,"Baby Looney Tunes",2002,2005,30,6.2,2990,"animation"
"2428",7,0,"Charlie Lawrence",2003,0,30,5.6,14,"comedy"
"2429",11,0,"Coupling",2003,0,30,3.6,934,"comedy"
"2430",13,0,"Ed Stone Is Dead",2002,0,30,5.9,25,"comedy"
"2431",29,1,"Forsvar",2003,2004,44,6.6,94,"drama"
"2432",25,0,"Henry's World",2002,0,22,6.6,35,"animation"
"2433",39,1,"Makinavaja",1995,1997,30,6.1,93,"comedy"
"2434",13,1,"Najib en Julia",2003,2003,60,7.1,56,"drama"
"2435",10,1,"Paristo",2002,2004,30,6.1,21,"comedy"
"2436",84,1,"Un paso adelante",2002,2005,50,6.1,1097,"comedy"
"2437",7,1,"The Pitts",2003,2003,30,4.8,190,"comedy"
"2438",13,1,"3-South",2002,2003,21,8.2,369,"animation"
"2439",10,1,"Wallace & Gromit's Cracking Contraptions",2002,2002,20,7.7,1813,"animation"
"2440",18,0,"William and Mary",2003,0,48,7.8,585,"comedy"
"2441",26,1,"Azumanga daiô",2002,2002,24,8.3,2418,"animation"
"2442",7,1,"My Big Fat Greek Life",2003,2003,30,4.6,888,"comedy"
"2443",43,1,"Phil of the Future",2004,2006,25,7.1,5906,"adventure"
"2444",40,0,"Den 6. sans",2002,0,42,3.8,15,"family"
"2445",8,0,"Anja & BS på afveje",2001,0,25,6.9,8,"documentary"
"2446",39,1,"Bewegte Männer",2003,2005,24,4.5,63,"comedy"
"2447",95,0,"Amor real",2003,0,45,8.2,700,"drama"
"2448",90,1,"Así son ellas",2002,2003,45,7.8,16,"drama"
"2449",26,1,"Don't Blame the Koalas",2002,2003,30,8.1,72,"comedy"
"2450",26,1,"Kakutou ryouri densetsu bistro recipe",2001,2002,30,6.4,56,"adventure"
"2451",8,0,"Forever Summer with Nigella",2002,0,30,7.6,17,"family"
"2452",39,1,"Kaninlandet",1999,2002,20,8,5,"family"
"2453",31,1,"SexOrama",1999,2000,25,6.3,6,"documentary"
"2454",25,0,"Wicked!",2001,0,30,6.7,23,"animation"
"2455",26,1,"The Adventures of Blinky Bill",1993,1993,25,6.5,411,"adventure"
"2456",26,1,"Blinky Bill's Extraordinary Excursion",1995,1996,24,7.3,12,"adventure"
"2457",10,1,"Club Reps",2001,2004,30,7,20,"crime"
"2458",94,1,"The Fat",2000,2003,60,5.9,11,"comedy"
"2459",7,0,"Floyd on Italy",1994,0,30,8.8,19,"documentary"
"2460",26,0,"Kidou tenshi enjerikku reiyâ",2001,0,25,7.1,253,"action"
"2461",13,1,"Mirall trencat",2002,2002,50,6.1,23,"drama"
"2462",25,1,"Nissaga l'herència",1999,2000,50,6.8,5,"crime"
"2463",63,1,"Secrets de família",1995,1995,25,5.3,18,"drama"
"2464",27,1,"The Shapies",2002,2002,24,3.8,9,"adventure"
"2465",38,0,"The Silver Brumby",1998,0,25,7.8,105,"adventure"
"2466",26,0,"Skippy: Adventures in Bushtown",1998,0,24,7.8,12,"adventure"
"2467",65,1,"Teen Titans",2003,2006,30,7.8,21043,"action"
"2468",62,0,"Latin Lover",2001,0,60,9.3,118,"drama"
"2469",22,1,"Broti & Pacek - irgendwas ist immer",2002,2003,60,5.3,15,"family"
"2470",7,1,"Hupiklubi",2002,2003,15,6.3,6,"comedy"
"2471",41,0,"Sumná mesta",1995,0,23,8.6,31,"documentary"
"2472",22,1,"Mit Herz und Handschellen",2002,2004,45,7.5,54,"comedy"
"2473",13,1,"Burn-Up Excess",1997,1998,30,6.5,108,"action"
"2474",13,0,"Chenji!! Gettâ robo: sekai saigo no hi",1998,0,28,7.9,80,"animation"
"2475",31,1,"Filter",2002,2006,30,8.1,37,"news"
"2476",23,1,"High School Reunion",2003,2005,60,4.6,57,"adventure"
"2477",10,0,"I Love the '80s",2002,0,60,8.3,1476,"comedy"
"2478",51,1,"Kamen Raidâ Agito",2001,2002,30,8.1,207,"action"
"2479",52,1,"Kôkaku kidôtai: Stand Alone Complex",2002,2005,24,8.5,15090,"action"
"2480",13,0,"Korkeajännitystä - eli sähköä kotiinkuljetettuna",2001,0,22,6.7,18,"comedy"
"2481",18,0,"Lisice",2002,0,50,5.1,256,"comedy"
"2482",8,1,"Lucky Luke",1992,1992,50,6.5,448,"comedy"
"2483",92,0,"Mi pequeña mamá",2002,0,30,7.4,17,"adventure"
"2484",9,0,"Opstanok",1990,0,30,8.8,32,"drama"
"2485",14,0,"P.I.S. - Politiets indsatsstyrke",2000,0,41,7.8,223,"action"
"2486",89,1,"Penn & Teller: Bullshit!",2003,2010,30,8.2,10999,"comedy"
"2487",99,0,"El precio del poder",1992,0,60,8.1,7,"drama"
"2488",13,0,"Rikospoliisi Maria Kallio",2003,0,45,6.4,120,"crime"
"2489",22,1,"Talkshowet",1991,1996,58,6.2,6,"talk-show"
"2490",33,1,"WinTuition",2002,2004,30,6.2,18,"family"
"2491",7,0,"Shrinks",1991,0,60,7.3,27,"drama"
"2492",31,0,"Animal Precinct",2001,0,60,8.1,106,"crime"
"2493",10,1,"Blyppernes første år",1999,1999,25,6.5,24,"family"
"2494",56,0,"Cram",2003,0,30,7.6,26,"family"
"2495",10,0,"DDR 2",1997,0,24,7.4,8,"talk-show"
"2496",29,1,"Dead Like Me",2003,2004,60,8.1,36853,"comedy"
"2497",36,1,"Deadwood",2004,2006,55,8.7,77168,"crime"
"2498",65,0,"Kaj og Andrea",1999,0,25,7.1,61,"family"
"2499",28,1,"Kender du typen?",1998,2014,28,6,23,"documentary"
"2500",10,0,"Mister Sterling",2003,0,60,8.2,134,"drama"
"2501",8,0,"OBLS",2003,0,38,6.8,8,"documentary"
"2502",55,1,"Okay tone",1997,1998,35,7.3,7,"comedy"
"2503",10,1,"Popetown",2005,2005,24,5.3,274,"animation"
"2504",12,0,"Remontti",2003,0,30,7.1,16,"comedy"
"2505",13,0,"Viva S Club",2002,0,30,5.4,111,"family"
"2506",12,1,"Århundredets vidner",1998,1999,38,7.6,5,"documentary"
"2507",25,0,"The Afternoon Play",2003,0,60,7.3,41,"comedy"
"2508",19,1,"CNNNN: Chaser Non-Stop News Network",2002,2003,30,8.3,336,"comedy"
"2509",13,0,"Fat Cow Motel",2003,0,26,7.1,15,"comedy"
"2510",14,0,"Girls Behaving Badly",2002,0,30,4.8,209,"comedy"
"2511",10,1,"Music Jamboree",2002,2002,25,8.3,123,"comedy"
"2512",25,1,"Out There",2003,2004,30,7.9,81,"comedy"
"2513",95,0,"Comedy Inc.",2003,0,50,7.1,366,"comedy"
"2514",40,1,"Filmland",2003,2004,28,5.9,30,"documentary"
"2515",8,0,"Gintberg - men nok om mig",2003,0,28,6,22,"comedy"
"2516",8,0,"God Almighty",2003,0,30,5.6,7,"comedy"
"2517",15,1,"Mataku",2002,2005,30,8.5,36,"drama"
"2518",99,1,"Oobi",2000,2005,22,5.9,639,"comedy"
"2519",48,0,"Pet Star",2002,0,60,7.2,78,"documentary"
"2520",13,0,"Brigaden",2002,0,45,4.1,10,"action"
"2521",38,0,"Cavegirl",2002,0,24,6.9,80,"comedy"
"2522",33,1,"Chappelle's Show",2003,2006,22,8.7,43874,"comedy"
"2523",44,1,"Kasia i Tomek",2002,2004,30,6.7,178,"comedy"
"2524",13,1,"Micallef Tonight",2003,2003,60,8.2,84,"comedy"
"2525",13,1,"Ocean Star",2003,2003,30,8,16,"adventure"
"2526",19,0,"Wanda at Large",2003,0,30,5.6,232,"comedy"
"2527",52,1,"¡Mucha Lucha!",2002,2005,22,5.7,1810,"animation"
"2528",12,0,"15 Storeys High",2002,0,30,8.3,1309,"comedy"
"2529",7,0,"Le 17",2002,0,26,6.2,6,"comedy"
"2530",8,0,"20 Things to Do Before You're 30",2002,0,30,6.9,35,"comedy"
"2531",78,1,"The Basil Brush Show",2002,2007,25,6.8,628,"comedy"
"2532",7,0,"Ellington",1996,0,60,7,5,"crime"
"2533",40,0,"Family Business",2003,0,30,7.1,231,"documentary"
"2534",46,0,"Femenino masculino",2003,0,60,7.6,7,"comedy"
"2535",10,0,"Imôto yo",1994,0,54,7.7,20,"romance"
"2536",39,1,"Mile High",2003,2005,60,7.3,765,"comedy"
"2537",76,0,"Secrets of the Dead",2000,0,56,7.7,365,"documentary"
"2538",91,0,"Las González",2002,0,45,7.4,5,"drama"
"2539",83,0,"Hyppönen Enbuske Experience",2002,0,60,5.1,46,"talk-show"
"2540",29,0,"I'm a Celebrity, Get Me Out of Here!",2003,0,60,3.6,962,"adventure"
"2541",16,0,"Lenßen & Partner",2003,0,21,1.7,201,"crime"
"2542",12,0,"Ranuan kummit",2003,0,30,6.1,72,"comedy"
"2543",75,1,"Thilia Thalia",1998,2005,50,5.4,34,"comedy"
"2544",40,1,"Tie Eedeniin",2003,2005,50,4.6,10,"drama"
"2545",50,1,"Bakuryû sentai Abaranger",2003,2004,30,8.1,57,"fantasy"
"2546",8,0,"Black Sash",2003,0,60,8,175,"action"
"2547",8,0,"Buried",2003,0,60,8.6,122,"drama"
"2548",12,1,"Cartoon Sushi",1997,1998,30,7.1,45,"animation"
"2549",7,1,"Free for All",2003,2003,26,6.9,210,"animation"
"2550",18,0,"HippHipp!",2001,0,30,7.9,1030,"comedy"
"2551",13,0,"Stuart Little",2003,0,30,4.8,249,"adventure"
"2552",62,1,"4Pop",2003,2004,30,5.5,42,"documentary"
"2553",80,0,"Calypso",1999,0,45,7.9,12,"drama"
"2554",49,0,"Unsolved History",2002,0,60,7.4,89,"documentary"
"2555",7,0,"I diari della Sacher",2001,0,30,5.3,9,"documentary"
"2556",12,1,"Hardware",2003,2004,30,7,338,"comedy"
"2557",15,1,"Look Around You",2002,2005,30,8.5,2231,"comedy"
"2558",12,1,"M.I.T.: Murder Investigation Team",2003,2005,69,6.5,125,"crime"
"2559",14,0,"Critical Rescue",2003,0,60,5,9,"action"
"2560",23,1,"Little Britain",2003,2006,29,7.7,18712,"comedy"
"2561",23,0,"Diagnosis: Unknown",2000,0,60,8.2,16,"drama"
"2562",80,0,"Hermanos de leche",1994,0,60,3.9,59,"comedy"
"2563",52,1,"Hynttyyt yhteen",1991,1995,25,6.5,65,"comedy"
"2564",13,1,"Un lugar en el mundo",2003,2003,70,7.2,16,"drama"
"2565",8,0,"The Murder Game",2003,0,60,8.7,66,"crime"
"2566",18,0,"Napaseutu",1994,0,22,7.3,15,"comedy"
"2567",42,1,"Paraíso",2000,2003,60,5,19,"comedy"
"2568",13,0,"Phantom Investigators",2002,0,30,7.5,23,"animation"
"2569",28,0,".hack//SIGN",2002,0,25,7,1072,"action"
"2570",22,0,"Bremner, Bird and Fortune",1999,0,60,7.5,101,"comedy"
"2571",14,1,"Father of the Pride",2004,2005,26,6.9,1184,"animation"
"2572",20,0,"Grease Monkeys",2003,0,30,7.5,37,"comedy"
"2573",12,0,"Handu pumpulla",2005,0,30,4.7,29,"comedy"
"2574",13,1,"Line of Fire",2003,2005,60,7.3,239,"crime"
"2575",26,1,"Megas XLR",2004,2005,30,8.3,4634,"action"
"2576",89,1,"Punk'd",2003,2015,30,6,7182,"comedy"
"2577",25,1,"Star Wars: Clone Wars",2003,2005,15,7.8,19243,"action"
"2578",7,0,"Trevor's World of Sport",2003,0,30,7.9,29,"comedy"
"2579",14,1,"Wonderfalls",2004,2004,60,8.3,11397,"comedy"
"2580",56,1,"The Simple Life",2003,2007,22,3.9,4834,"comedy"
"2581",28,0,"Comic Relief Does Fame Academy",2003,0,60,5.2,25,"comedy"
"2582",90,1,"Jay Jay the Jet Plane",2001,2005,30,3.5,427,"animation"
"2583",92,1,"The O.C.",2003,2007,44,7.5,72400,"comedy"
"2584",9,1,"El pantano",2003,2003,60,6.5,27,"drama"
"2585",58,1,"Switch",1997,2000,22,7,990,"comedy"
"2586",61,1,"Train 48",2003,2005,30,2.4,257,"drama"
"2587",17,0,"Wired for Sex",2003,0,22,6.1,14,"documentary"
"2588",52,1,"Wunschpunsch",2000,2001,30,7.4,715,"animation"
"2589",88,1,"All of Us",2003,2007,30,6.1,1109,"comedy"
"2590",18,1,"Miss Match",2003,2003,60,6.6,1317,"comedy"
"2591",21,0,"De bende van Wim",2002,0,45,7.3,40,"adventure"
"2592",57,1,"Drake & Josh",2004,2007,23,7.7,30139,"comedy"
"2593",11,1,"Greeks on the Roof",2003,2003,60,3.2,23,"comedy"
"2594",40,1,"Nase Maalo",1999,2004,26,8.9,53,"family"
"2595",26,0,"The Price Is Right Million Dollar Spectacular",2003,0,60,7.1,41,"family"
"2596",44,1,"Puhtaat valkeat lakanat",1993,1996,45,6.8,100,"drama"
"2597",19,1,"Run of the House",2003,2004,30,7.2,209,"comedy"
"2598",15,0,"Ruonansuu & Petelius Co",1997,0,22,5.3,9,"comedy"
"2599",33,1,"Tea",2002,2003,23,4.8,58,"comedy"
"2600",16,0,"Vaimonsa mies",2001,0,30,6.9,8,"comedy"
"2601",29,0,"Victor & Hugo: Bunglers in Crime",1991,0,22,7.8,67,"animation"
"2602",50,0,"El mundo de Gasalla",1990,0,60,7.2,16,"comedy"
"2603",77,0,"$40 a Day",2002,0,30,6.1,176,"documentary"
"2604",67,1,"Lilo & Stitch: The Series",2003,2006,22,6.8,5882,"action"
"2605",14,1,"Ammuntaa - Ulla Tapaninen",1996,1997,25,6.2,5,"comedy"
"2606",30,1,"The Berenstain Bears",2002,2004,30,7.5,1119,"animation"
"2607",15,1,"Big Bite",2003,2004,25,7.1,82,"comedy"
"2608",8,1,"El botones Sacarino",2000,2001,60,2.4,13,"comedy"
"2609",19,1,"Cidade dos Homens",2002,2018,30,8.3,2571,"comedy"
"2610",76,0,"Extreme Engineering",2003,0,50,7.5,844,"documentary"
"2611",40,0,"George Shrinks",2000,0,30,6.8,771,"animation"
"2612",22,1,"Happy Family",2003,2004,30,7.4,82,"comedy"
"2613",7,0,"The Help",2004,0,30,6.4,139,"comedy"
"2614",27,1,"Tru Calling",2003,2005,43,7.5,13623,"adventure"
"2615",10,0,"K Street",2003,0,30,6.4,241,"comedy"
"2616",11,1,"Karen Sisco",2003,2004,60,7.3,697,"crime"
"2617",26,0,"Kazneni prostor",2002,0,40,6.9,29,"comedy"
"2618",17,0,"Manitbois",1992,0,25,5.2,111,"comedy"
"2619",26,1,"La memòria dels Cargols",1999,1999,45,8.1,37,"comedy"
"2620",13,1,"Moncloa ¿dígame?",2001,2001,30,5.7,20,"comedy"
"2621",81,0,"Most Extreme Elimination Challenge",2003,0,30,8.7,2298,"action"
"2622",26,0,"RahXephon",2002,0,25,7.4,1423,"action"
"2623",7,1,"RoboRoach",2002,2004,30,6.5,442,"animation"
"2624",12,0,"Sakura Tsûshin",1997,0,25,6.7,126,"animation"
"2625",32,1,"Sitges",1996,1997,54,7,9,"comedy"
"2626",52,0,"Sophie et Virginie",1990,0,22,8.2,61,"adventure"
"2627",24,0,"The joulukalenteri",1997,0,15,8.3,385,"comedy"
"2628",16,1,"Threat Matrix",2003,2004,60,5.9,309,"drama"
"2629",14,0,"Timothy Goes to School",2000,0,30,6.4,337,"animation"
"2630",18,1,"The Tracy Morgan Show",2003,2004,30,6.2,222,"comedy"
"2631",68,0,"Tsa tsa tsaa",1993,0,25,4.7,18,"comedy"
"2632",38,1,"The Wayne Brady Show",2002,2004,60,4.8,218,"comedy"
"2633",22,1,"Whoopi",2003,2004,30,6.6,543,"comedy"
"2634",13,0,"Kovaa maata",1994,0,45,7.9,28,"drama"
"2635",15,1,"10-8: Officers on Duty",2003,2004,60,7,193,"crime"
"2636",22,1,"Married to the Kellys",2003,2004,30,6.3,217,"comedy"
"2637",49,1,"Danny Phantom",2004,2007,30,7.1,11656,"action"
"2638",12,1,"Early Doors",2003,2004,30,8.3,1148,"comedy"
"2639",16,1,"The Handler",2003,2004,60,7.2,141,"crime"
"2640",74,1,"Hope & Faith",2003,2006,30,5.6,4268,"comedy"
"2641",22,1,"I'm with Her",2003,2004,30,7.1,332,"comedy"
"2642",22,1,"It's All Relative",2003,2004,30,6.9,256,"comedy"
"2643",25,1,"Juntas pero no revueltas",1995,1996,45,3.7,7,"comedy"
"2644",32,0,"La ley del silencio",2005,0,45,8.4,31,"drama"
"2645",13,0,"A Minute with Stan Hooper",2003,0,30,6.4,175,"comedy"
"2646",8,0,"Najbolje godine",2003,0,25,7.8,14,"comedy"
"2647",22,1,"Rock Me, Baby",2003,2004,30,5.5,77,"comedy"
"2648",13,0,"Onegai Teacher",2002,0,25,7.2,925,"animation"
"2649",12,1,"Da Ali G Show",2003,2004,30,8,11757,"comedy"
"2650",84,0,"Arrested Development",2003,0,22,8.9,242490,"comedy"
"2651",26,0,"The Blobheads",2003,0,30,5.5,37,"comedy"
"2652",7,0,"The Brotherhood of Poland, New Hampshire",2003,0,60,6.5,75,"drama"
"2653",13,0,"Cracking Up",2004,0,30,6.3,158,"comedy"
"2654",25,1,"Hey Monie!",2003,2003,30,8,52,"animation"
"2655",16,1,"Jake 2.0",2003,2004,60,6.8,3100,"drama"
"2656",45,1,"Joan of Arcadia",2003,2005,60,7,8350,"drama"
"2657",26,1,"Kvarteret Skatan",2003,2006,28,7.6,865,"comedy"
"2658",9,0,"Luis",2003,0,30,5.8,55,"comedy"
"2659",93,1,"Max & Ruby",2002,2017,30,6.1,1280,"animation"
"2660",83,1,"MegaMan: NT Warrior",2001,2005,25,7,445,"action"
"2661",11,1,"The Mullets",2003,2004,30,4.9,57,"comedy"
"2662",29,1,"Näytönpaikka",1995,1996,60,3.4,5,"comedy"
"2663",66,1,"Eve",2003,2006,30,6.3,718,"comedy"
"2664",9,0,"Peltiheikit",1995,0,25,6.5,14,"comedy"
"2665",12,0,"Sana mania",1999,0,25,5.4,5,"comedy"
"2666",78,1,"Shaman Kingu",2001,2005,23,8.1,4037,"action"
"2667",78,1,"Sonic X",2003,2006,30,6.1,2731,"action"
"2668",20,1,"Taller mecánico",1991,1992,30,5.2,12,"comedy"
"2669",8,0,"Tarzan",2003,0,60,6.7,695,"action"
"2670",42,1,"Speden tee-se-itse TV",1990,1992,25,5.6,5,"comedy"
"2671",22,0,"Trabant express",1996,0,23,6.5,64,"comedy"
"2672",11,0,"Zaboravljeni",1991,0,50,8.7,253,"drama"
"2673",67,0,"Zoids: Chaotic Century",1999,0,22,8,489,"action"
"2674",95,0,"Bajo la misma piel",2003,0,60,7.6,25,"drama"
"2675",16,1,"The Brendan Leonard Show",2003,2003,30,8.2,149,"comedy"
"2676",24,0,"Hem till Midgård",2003,0,30,7.4,980,"action"
"2677",29,1,"I, Detective",2001,2006,30,7.1,19,"crime"
"2678",84,0,"Idol - Jakten på en superstjerne",2003,0,50,4,66,"family"
"2679",11,0,"Niña... amada mía",2003,0,44,7.9,84,"crime"
"2680",26,1,"Sitting Ducks",2001,2003,27,7.5,260,"adventure"
"2681",24,0,"Suomen Robinson",2004,0,60,3,20,"adventure"
"2682",96,0,"Endurance",2002,0,30,7.8,272,"family"
"2683",13,0,"I'm with Busey",2003,0,30,8,394,"comedy"
"2684",26,0,"Macius",2002,0,25,3,15,"animation"
"2685",49,0,"Madventures",2002,0,35,9.2,2222,"documentary"
"2686",39,1,"Rikostarinoita Suomesta",2001,2007,30,7.2,32,"crime"
"2687",13,0,"Shop with Me",2001,0,29,6.1,8,"documentary"
"2688",87,1,"Speden sallitut leikit",1990,1992,50,5.1,8,"comedy"
"2689",25,1,"Spiral: Suiri no kizuna",2002,2003,25,7.3,217,"animation"
"2690",9,0,"The Stones",2004,0,30,5.8,26,"comedy"
"2691",13,1,"Stripperella",2003,2004,30,5.7,1081,"action"
"2692",56,1,"The Terry and Gaby Show",2003,2004,60,4.5,11,"talk-show"
"2693",88,1,"Reno 911!",2003,2009,22,7.9,14566,"comedy"
"2694",61,0,"Årgang 0",2001,0,40,6.9,20,"documentary"
"2695",11,1,"Bands Reunited",2004,2005,44,7.8,59,"documentary"
"2696",12,0,"Jaajon jacuzzi",2003,0,30,4.6,8,"talk-show"
"2697",8,1,"Ren & Stimpy 'Adult Party Cartoon'",2003,2003,30,5.9,1176,"animation"
"2698",19,0,"Sólo para parejas",1994,0,60,7,5,"comedy"
"2699",36,1,"Wild Card",2003,2005,45,6.4,266,"comedy"
"2700",47,1,"Comedy Connections",2003,2008,40,7.5,61,"documentary"
"2701",13,1,"Gary the Rat",2003,2003,30,6.9,141,"animation"
"2702",27,0,"Girls in Love",2003,0,30,7.3,275,"drama"
"2703",24,1,"Jul på Vesterbro",2003,2003,12,8.1,1601,"comedy"
"2704",10,0,"Burned",2003,0,30,3.9,14,"comedy"
"2705",20,0,"Chiquititas, la historia",2001,0,25,6.6,38,"comedy"
"2706",13,1,"¡Quién dá la vez?",1995,1995,60,6.5,12,"drama"
"2707",55,1,"1-800-Missing",2003,2006,60,6.5,1095,"crime"
"2708",26,0,"La banda de Pérez",1997,0,55,6.2,20,"comedy"
"2709",10,0,"The Buzz",2002,0,25,5.8,9,"family"
"2710",26,0,"Corduroy",2000,0,30,7.5,43,"animation"
"2711",13,0,"The Fear",2001,0,15,6.6,18,"horror"
"2712",39,0,"Master Keaton",1998,0,30,7.9,103,"action"
"2713",52,1,"Odd Job Jack",2003,2007,23,5.9,263,"animation"
"2714",38,1,"Power Rangers DinoThunder",2004,2004,30,6.7,2093,"action"
"2715",13,0,"Saishû heiki kanojo",2002,0,25,7.2,589,"animation"
"2716",56,1,"The Boondocks",2005,2014,22,8.4,23539,"action"
"2717",10,0,"Pulling Moves",2004,0,30,8.1,56,"comedy"
"2718",98,1,"16",2003,2003,60,7.5,17,"comedy"
"2719",26,1,"Big Time",2003,2005,60,3.1,16,"comedy"
"2720",23,1,"Bo' Selecta!",2002,2004,30,6.9,1237,"comedy"
"2721",50,1,"Kidô senshi Gundam Seed",2002,2003,50,7.8,1938,"action"
"2722",23,1,"Like Family",2003,2004,30,7.1,109,"comedy"
"2723",66,1,"Martin Mystery",2003,2006,22,7.4,1502,"action"
"2724",33,0,"The Shopping Bags",2001,0,22,8.6,54,"documentary"
"2725",99,1,"Stargate: Atlantis",2004,2009,44,8.1,54411,"action"
"2726",13,1,"Compuesta y sin novio",1994,1994,50,3.7,9,"comedy"
"2727",34,1,"Crni Gruja",2003,2007,35,8.3,1388,"comedy"
"2728",12,0,"The Crouches",2003,0,30,4.9,31,"comedy"
"2729",10,0,"Dancing in the Street",1996,0,60,7.8,95,"documentary"
"2730",25,0,"Hâmerun no baiorin hiki",1996,0,25,6.9,11,"adventure"
"2731",46,1,"Joey",2004,2006,22,6,38219,"comedy"
"2732",17,1,"Mediterráneo",1999,2000,60,5.6,14,"comedy"
"2733",95,1,"Pecadores",2003,2003,60,7.9,18,"comedy"
"2734",70,0,"7de Laan",2000,0,30,5.6,91,"drama"
"2735",8,0,"Walk on By: The Story of Popular Song",2001,0,49,8.4,59,"documentary"
"2736",15,0,"The World's Deadliest Gangs",2004,0,25,7,8,"crime"
"2737",13,1,"Yo, una mujer",1996,1996,50,6.4,5,"drama"
"2738",69,1,"31 minutos",2003,2014,31,8.3,602,"comedy"
"2739",39,1,"Duck Dodgers",2003,2005,30,7.9,5635,"action"
"2740",12,0,"Ganparêdo mâchî: Aratanaru kôgun uta",2003,0,25,6.9,72,"action"
"2741",27,0,"The Joe Schmo Show",2003,0,60,8.3,1230,"comedy"
"2742",24,1,"Nissernes ø",2003,2003,28,5,148,"family"
"2743",9,0,"Century City",2004,0,60,6.6,208,"drama"
"2744",40,0,"Clifford's Puppy Days",2003,0,30,6.7,176,"animation"
"2745",15,1,"Eyes Down",2003,2004,30,7.5,59,"comedy"
"2746",10,0,"I Love the '70s",2003,0,60,7.9,582,"comedy"
"2747",12,0,"Irtiottoja",2003,0,70,8,250,"drama"
"2748",13,1,"Joonas Hytönen show",1999,2003,60,4.6,41,"comedy"
"2749",12,0,"Kansankynttilät",2003,0,30,7.2,5,"comedy"
"2750",24,1,"Kiddy Grade",2002,2003,25,7,277,"action"
"2751",69,1,"Krisse",2003,2007,30,4.7,57,"comedy"
"2752",15,0,"Kuumia aaltoja",2003,0,22,5.6,17,"comedy"
"2753",19,1,"The Newsroom",2004,2005,22,7,203,"comedy"
"2754",26,1,"Overman King-Gainer",2002,2003,30,6.8,38,"animation"
"2755",52,1,"Radio Free Roscoe",2003,2006,30,7,1038,"drama"
"2756",8,1,"Restoration",2003,2006,60,7.8,12,"documentary"
"2757",7,0,"Revolver",2001,0,30,7.5,20,"comedy"
"2758",22,1,"Rosemary & Thyme",2003,2006,60,7.7,2828,"crime"
"2759",10,0,"Sweet Medicine",2003,0,52,5.8,10,"drama"
"2760",45,1,"W-tyyli",2003,2005,30,7.5,59,"comedy"
"2761",13,0,"Yami no matsuei",2000,0,25,7.4,294,"animation"
"2762",7,0,"Seven Wonders of the Industrial World",2003,0,50,8.4,403,"drama"
