"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre","GenderMale","GenderFeMale"
"123",33,1,"Brooklyn Bridge",1991,1993,30,8.5,285,"drama",3,1
"124",13,1,"Cadillacs and Dinosaurs",1993,1994,30,7.2,280,"adventure",2,2
"125",7,0,"Charlie Hoover",1991,0,30,6.2,22,"comedy",2,2
"126",35,1,"The Chief",1990,1995,50,6.9,66,"drama",2,2
"127",51,1,"Chojin sentai Jettoman",1991,1992,25,8.6,122,"action",2,3
"128",36,1,"Civil Wars",1991,1993,60,7.1,91,"drama",2,2
"129",65,1,"Clarissa Explains It All",1991,1994,30,7.2,6799,"comedy",2,2
"130",25,1,"Cluedo",1990,1993,45,6.9,78,"drama",2,0
"131",92,1,"The Commish",1991,1996,60,7.2,1460,"comedy",3,1
"132",14,0,"Dangerous Women",1991,0,60,8.1,87,"comedy",0,4
"133",65,1,"Dark Justice",1991,1993,60,7.3,270,"crime",3,1
"134",91,1,"Darkwing Duck",1991,1992,30,7.6,12048,"action",2,3
"135",29,1,"Davis Rules",1991,1992,30,7.6,104,"comedy",3,1
"136",65,1,"Dinosaurs",1991,1994,30,7.5,14005,"comedy",3,1
"137",7,1,"The 100 Lives of Black Jack Savage",1991,1991,60,8,64,"adventure",3,1
"138",7,0,"Doctor at the Top",1991,0,30,6.7,35,"comedy",4,0
"139",52,1,"Doug",1991,1994,30,7.5,15291,"animation",2,2
"140",18,1,"Drexell's Class",1991,1992,30,7.6,135,"comedy",3,1
"141",7,0,"Eddie Dodd",1991,0,60,5.9,13,"drama",2,2
"142",19,1,"Eerie, Indiana",1991,1992,30,8.2,4219,"adventure",1,0
"143",14,0,"Fiddlers Three",1991,0,30,6.6,12,"comedy",4,1
"144",65,0,"Hillside",1990,0,25,7.3,290,"drama",3,2
"145",13,0,"Fly by Night",1991,0,52,7.2,28,"adventure",2,2
"146",15,0,"Good Sports",1991,0,30,5.9,42,"comedy",3,1
"147",21,0,"Der Hausgeist",1991,0,25,5.6,18,"comedy",2,3
"148",72,1,"Herman's Head",1991,1994,30,7.2,1485,"comedy",2,2
"149",14,1,"Hi Honey, I'm Home",1991,1992,30,7.4,124,"comedy",2,2
"150",33,1,"The Hidden Room",1991,1993,30,5.3,47,"drama",3,2
"151",42,1,"Homefront",1991,1993,60,8.9,950,"drama",2,2
"152",13,1,"Hope It Rains",1991,1992,30,7.9,21,"comedy",3,2
"153",34,1,"The House of Eliott",1991,1994,50,8.1,917,"drama",1,3
"154",38,1,"I'll Fly Away",1991,1993,60,8.5,659,"drama",2,2
"155",26,1,"Kelly",1991,1992,30,7.7,19,"action",2,3
